time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,MA,MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Histogram,MACD,Signal,Plot,Plot,Aroon Up,Aroon Down,K,D,Plot
1493625600,62.89,65.32,62.84,64.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33070,NaN,33070,NaN,33070,NaN,NaN,NaN,NaN,NaN,1.317829457364341,NaN,NaN,NaN,NaN,NaN
1493712000,64.69,65.38,63.19,63.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23242,NaN,23242,NaN,23242,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
1493798400,63.42,64.2,61.95,62.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33223,NaN,33223,NaN,33223,NaN,NaN,NaN,NaN,NaN,0.5222278998467041,NaN,NaN,NaN,NaN,NaN
1493884800,61.24,61.31,57.99,58.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39891,NaN,39891,NaN,39891,NaN,NaN,NaN,NaN,NaN,0.573744769874477,NaN,NaN,NaN,NaN,NaN
1493971200,59.41,61.61,59.27,61.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33614,NaN,33614,NaN,33614,NaN,NaN,NaN,NaN,NaN,2.5476190476190474,NaN,NaN,NaN,NaN,NaN
1494230400,62.05,62.61,60.96,61.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29670,NaN,29670,NaN,29670,NaN,NaN,NaN,NaN,NaN,0.8466790813159528,NaN,NaN,NaN,NaN,NaN
1494316800,61.77,64.31,61.72,64.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21037,NaN,21037,NaN,21037,NaN,NaN,NaN,NaN,NaN,0.7836222355050807,NaN,NaN,NaN,NaN,NaN
1494403200,64.2,64.98,63.54,64.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8763,NaN,8763,NaN,8763,NaN,NaN,NaN,NaN,NaN,1.7905027932960893,NaN,NaN,NaN,NaN,NaN
1494489600,64.51,65.07,63.86,64.52,NaN,NaN,NaN,NaN,NaN,NaN,62.846666666666664,62.846666666666664,8451,NaN,8451,NaN,8451,NaN,NaN,NaN,NaN,NaN,0.5786666666666667,NaN,NaN,NaN,NaN,NaN
1494576000,64.83,65.28,64.25,64.84,NaN,NaN,NaN,NaN,NaN,NaN,62.888888888888886,62.888888888888886,7295,NaN,7295,NaN,7295,NaN,NaN,NaN,NaN,NaN,0.7916167664670659,NaN,NaN,NaN,NaN,-41.51981421650273
1494835200,63.49,63.91,62.44,63.07,NaN,NaN,NaN,NaN,NaN,NaN,62.82333333333333,62.82333333333333,10747,NaN,10747,NaN,10747,NaN,NaN,NaN,NaN,NaN,3.0324763193504736,NaN,NaN,NaN,NaN,-39.988033854810496
1494921600,63.42,63.9,62.96,63.34,NaN,NaN,NaN,NaN,NaN,NaN,62.97,62.97,6770,NaN,6770,NaN,6770,NaN,NaN,NaN,NaN,NaN,0.8012121212121213,NaN,NaN,NaN,NaN,-42.289558181977206
1495008000,62.79,62.79,61.04,61.15,NaN,NaN,NaN,NaN,NaN,NaN,63.212222222222216,63.212222222222216,9252,NaN,9252,NaN,9252,NaN,NaN,NaN,NaN,NaN,0.2723475355054302,NaN,NaN,NaN,NaN,-39.525594021944016
1495094400,61.3,62.69,60.98,62.54,NaN,NaN,NaN,NaN,NaN,NaN,63.32222222222222,63.32222222222222,8760,NaN,8760,NaN,8760,NaN,NaN,NaN,NaN,NaN,1.047455295735901,NaN,NaN,NaN,NaN,-36.98479548496472
1495180800,62.95,63.15,61.98,62.09,NaN,NaN,NaN,NaN,NaN,NaN,63.407777777777774,63.407777777777774,7334,NaN,7334,NaN,7334,NaN,NaN,NaN,NaN,NaN,2.8218623481781377,7.142857142857143,21.428571428571427,NaN,NaN,-36.12593389108764
1495440000,62.43,62.7,61.3,61.97,NaN,NaN,NaN,NaN,NaN,NaN,63.162222222222226,63.162222222222226,7221,NaN,7221,NaN,7221,NaN,NaN,NaN,NaN,NaN,2.095336787564767,0,14.285714285714286,NaN,NaN,-34.49530424369884
1495526400,61.94,61.98,60.63,60.69,NaN,NaN,NaN,NaN,NaN,NaN,62.690000000000005,62.690000000000005,6622,NaN,6622,NaN,6622,NaN,NaN,NaN,NaN,NaN,1.4895746455379484,50,7.142857142857143,NaN,NaN,-33.231969565116344
1495612800,61.16,62.11,60.99,61.96,NaN,NaN,NaN,NaN,NaN,NaN,62.40555555555555,62.40555555555555,7897,NaN,7897,NaN,7897,NaN,NaN,NaN,NaN,NaN,1.2872503840245775,42.857142857142854,0,33.333333333333336,NaN,-28.758271879118105
1495699200,62.08,63.3,61.49,63.29,NaN,NaN,NaN,NaN,NaN,NaN,62.233333333333334,62.233333333333334,7562,NaN,7562,NaN,7562,NaN,NaN,NaN,NaN,NaN,1.1309271054493983,35.714285714285715,0,66.66666666666667,NaN,-25.340389393931247
1495785600,63.27,65.01,63.2,64.95,62.7755,65.95308697756643,59.59791302243358,62.7755,65.95308697756643,59.59791302243358,62.44222222222223,62.44222222222223,9552,15998.65,9552,15998.65,9552,15998.65,NaN,NaN,NaN,NaN,1.0732044198895028,28.571428571428573,78.57142857142857,100,66.66666666666667,-18.352058743348348
1496131200,65.02,67.16,65.02,66.94,62.8995,66.49625673350273,59.302743266497274,62.8995,66.49625673350273,59.302743266497274,62.84222222222221,62.84222222222221,9525,14821.4,9525,14821.4,9525,14821.4,NaN,NaN,NaN,NaN,0.633097441480675,100,71.42857142857143,100,88.8888888888889,-13.433272909774445
1496217600,67.43,68.46,66.96,68.12,63.1225,67.37371100393759,58.87128899606241,63.1225,67.37371100393759,58.87128899606241,63.61666666666666,63.61666666666666,10389,14178.75,10389,14178.75,10389,14178.75,NaN,NaN,NaN,NaN,0.9698360655737704,100,64.28571428571429,100,100,-8.468920219335013
1496304000,68.66,68.78,67.39,67.96,63.419500000000006,68.12663702796054,58.712362972039465,63.419500000000006,68.12663702796054,58.712362972039465,64.21888888888888,64.21888888888888,10195,13027.35,10195,13027.35,10195,13027.35,NaN,NaN,NaN,NaN,4.269230769230769,100,57.142857142857146,99.102020137033,99.700673379011,-5.57143332014457
1496390400,67.89,68.46,67.11,67.86,63.864,68.48469432012138,59.243305679878624,63.864,68.48469432012138,59.243305679878624,64.86,64.86,9103,11487.95,9103,11487.95,9103,11487.95,NaN,NaN,NaN,NaN,1.4087237479806138,92.85714285714286,50,97.60886632000519,98.90362881901274,-5.387837213679156
1496649600,67.49,69.57,66.77,69.39,64.256,69.33266977456672,59.179330225433276,64.256,69.33266977456672,59.179330225433276,65.68444444444444,65.68444444444444,9526,10283.55,9526,10283.55,9526,10283.55,NaN,NaN,NaN,NaN,0.6049250535331906,100,42.857142857142854,97.60886632000519,98.10658425901447,-4.29398560163601
1496736000,68.85,71.79,68.85,70.45,64.7125,70.27020771091806,59.15479228908196,64.7125,70.27020771091806,59.15479228908196,66.76888888888888,66.76888888888888,11717,9385.9,11717,9385.9,11717,9385.9,NaN,2.472366333115957,NaN,NaN,0.8894230769230769,100,35.714285714285715,98.5068461829722,97.90819294099418,-0.05334638804482986
1496822400,71.12,71.99,70.94,71.84,65.0955,71.45198479900652,58.73901520099348,65.0955,71.45198479900652,58.73901520099348,67.86666666666666,67.86666666666666,9795,8823.8,9795,8823.8,9795,8823.8,NaN,2.7105733973615287,NaN,NaN,0.9116129032258065,100,28.571428571428573,100,98.70523750099245,-0.6683064164354251
1496908800,72.59,74.26,71.97,73.9,65.5435,72.96651091202243,58.12048908797756,65.5435,72.96651091202243,58.12048908797756,69.04555555555555,69.04555555555555,10148,8893.05,10148,8893.05,10148,8893.05,NaN,3.0306436226552336,NaN,NaN,1.327329678935004,100,21.428571428571427,100,99.50228206099071,-0.4355699721635326
1496995200,74.78,75.23,70.89,71.39,65.887,73.71361638257561,58.06038361742439,65.887,73.71361638257561,58.06038361742439,69.7611111111111,69.7611111111111,18433,9392.15,18433,9392.15,18433,9392.15,NaN,3.0466457236955478,NaN,NaN,1.6051948051948053,100,14.285714285714286,90.03714667377568,96.67904889125855,10.529460498827683
1497254400,71.4,72.74,70.05,71.73,66.23150000000001,74.44064678879566,58.02235321120437,66.23150000000001,74.44064678879566,58.02235321120437,70.29333333333332,70.29333333333332,16016,9828.2,16016,9828.2,16016,9828.2,NaN,3.051585880081035,NaN,NaN,1.0628887353144436,92.85714285714286,7.142857142857143,80.80359366975007,90.28024678117522,11.887970289869502
1497340800,73.46,75.1,73.25,75.1,66.833,75.75902509519229,57.90697490480771,66.833,75.75902509519229,57.90697490480771,71.06888888888888,71.06888888888888,12689,9925.3,12689,9925.3,12689,9925.3,NaN,3.2895123743422374,NaN,NaN,2.077319587628866,85.71428571428571,0,77.46914306087022,82.76996113479863,8.19456193834075
1497427200,76.1,76.69,75.18,76.02,67.46700000000001,77.08500831773364,57.84899168226639,67.46700000000001,77.08500831773364,57.84899168226639,71.96444444444444,71.96444444444444,17051,10439.35,17051,10439.35,17051,10439.35,NaN,3.5118250137281706,NaN,NaN,0.8773466833541927,100,0,85.51591380639401,81.26288351233808,10.313586491237727
